제품명,스타일,도수,국가/지역,제조사,공급사
조선주조사_190,청주,14.0%,대한민국,농업회사법인 우포의아침 주식회사,농업회사법인 우포의아침 주식회사
동학1957,청주,13.0%,대한민국,고헌정영농조합법인,부국상사
조선주조사_300,청주,14.0%,대한민국,농업회사법인 우포의아침 주식회사,농업회사법인 우포의아침 주식회사
예담,청주,13.0%,대한민국,국순당,에스엠트레이드
주교주,청주,16.0%,대한민국,배다리도가,배다리도가
조선주조사_700,청주,14.0%,대한민국,농업회사법인 우포의아침 주식회사,농업회사법인 우포의아침 주식회사
행복한상상_일요일,청주,15.0%,대한민국,대한주조,부국상사
행복한상상_금요일,청주,15.0%,대한민국,대한주조,부국상사
한청,청주,15.0%,대한민국,(주)초가,부국상사
서설,청주,13.0%,대한민국,농업회사법인 (주)술샘,부국상사
삼양춘_청주,청주,15.0%,대한민국,송도향전통주조,부국상사
우렁이쌀_청주,청주,14.0%,대한민국,(유)양촌양조,부국상사
