제품명,스타일,도수,국가/지역,제조사,공급사
에너진_홍삼쌀맥주,국산 맥주 라거,4.5%,대한민국,김포파주인삼농협,김포파주인삼농협
벨지안_윗_비어,국산 맥주 위트 에일,4.5%,대한민국,김포파주인삼농협,김포파주인삼농협
영동고제,국산 맥주 고제,4.6%,대한민국,배배양조,베베양조 주식회사
비비_스타우트,국산 맥주 스타우트,5.2%,대한민국,브라이트바흐,브라이트바흐(생그린식품)
비비_골든에일,국산 맥주 골든 에일,5.0%,대한민국,브라이트바흐,브라이트바흐(생그린식품)
홍천_스타우트,국산 맥주 스타우트,5.2%,대한민국,브라이트바흐,브라이트바흐(생그린식품)
홍천_골든에일,국산 맥주 골든 에일,5.0%,대한민국,브라이트바흐,브라이트바흐(생그린식품)
홍천_바이젠,국산 맥주 바이젠,4.9%,대한민국,브라이트바흐,브라이트바흐(생그린식품)
홍천_필스너,국산 맥주 필스너,4.5%,대한민국,브라이트바흐,브라이트바흐(생그린식품)
비비_필스너,국산 맥주 필스너,4.5%,대한민국,브라이트바흐,브라이트바흐(생그린식품)
블론드_에일,국산 맥주,4.8%,대한민국,담주브로이,담주 영농조합법인
우스라이,국산 맥주 라거,4.5%,대한민국,담주브로이,담주 영농조합법인
스포라이스,국산 맥주 라거,4.5%,대한민국,담주브로이,담주 영농조합법인
스포필스,국산 맥주 필스너,5.0%,대한민국,담주브로이,담주 영농조합법인
밤부_둔켈,국산 맥주 둥켈,4.5%,대한민국,담주브로이,담주 영농조합법인
밤부_바이젠,국산 맥주 헤페 바이젠,4.5%,대한민국,담주브로이,담주 영농조합법인
홍천_아이피에이,국산 맥주 IPA,6.5%,대한민국,브라이트바흐,브라이트바흐(생그린식품)
UF_앰버에일,국산 맥주 엠버 에일,5.5%,대한민국,농업회사법인 (주) 생극양조,농업회사법인(주)생극양조
UF_오트에일,국산 맥주 세종,6.5%,대한민국,농업회사법인 (주) 생극양조,농업회사법인(주)생극양조
UF_라이스에일,국산 맥주 기타,5.5%,대한민국,농업회사법인 (주) 생극양조,농업회사법인(주)생극양조
UF_싱글몰트_라거,국산 맥주 라거,5.5%,대한민국,농업회사법인 (주) 생극양조,농업회사법인(주)생극양조
페일_에일,국산 맥주 페일 에일,4.8%,대한민국,담주브로이,담주 영농조합법인
관방제림,국산 맥주 기타,4.5%,대한민국,담주브로이,담주 영농조합법인
메타,국산 맥주 필스너,4.8%,대한민국,담주브로이,담주 영농조합법인
죽녹원,국산 맥주 위트 에일,4.5%,대한민국,담주브로이,담주 영농조합법인
처세술,국산 맥주 블론드 에일,4.9%,대한민국,해마양조,해마양조
스노이,국산 맥주 라거,4.5%,대한민국,(주)더홋브루어리 농업회사법인,(주)더홋브루어리농업회사법인
치고이너바이젠,국산 맥주 윗비어,5.0%,대한민국,(주)더홋브루어리 농업회사법인,(주)더홋브루어리농업회사법인
블랙스노이,국산 맥주 포터,5.2%,대한민국,(주)더홋브루어리 농업회사법인,(주)더홋브루어리농업회사법인
분나,국산 맥주 포터,5.2%,대한민국,(주)더홋브루어리 농업회사법인,(주)더홋브루어리농업회사법인
고담,국산 맥주 더블 IPA,9.3%,대한민국,(주)더홋브루어리 농업회사법인,(주)더홋브루어리농업회사법인
UF_앰버_인텐소,국산 맥주 엠버 에일,6.8%,대한민국,농업회사법인(주)생극양조,농업회사법인(주)생극양조
UF_슈퍼_세종,국산 맥주 세종,7.4%,대한민국,농업회사법인(주)생극양조,농업회사법인(주)생극양조
진라거,국산 맥주 엠버 라거,5.2%,대한민국,어메이징 브루잉 컴퍼니,어메이징 브루잉 컴퍼니
필굿_오리지널,국산 맥주 기타,4.5%,대한민국,오비맥주 주식회사,오비맥주 주식회사
카스_라이트,국산 맥주 라거,4.0%,대한민국,오비맥주 주식회사,오비맥주 주식회사
엑스필_S_라이트,국산 맥주,3.8%,대한민국,하이트진로 국산,하이트진로 국산
카프리,국산 맥주 라거,4.2%,대한민국,오비맥주 주식회사,오비맥주 주식회사
OB라거,국산 맥주 라거,4.6%,대한민국,오비맥주 주식회사,오비맥주 주식회사
하이트_엑스트라_콜드,국산 맥주,4.5%,대한민국,하이트진로 국산,하이트진로 국산
호가든_보타닉,국산 맥주 위트 비어,2.5%,대한민국,오비맥주,오비맥주 주식회사
핸드앤몰트_상상_페일에일,국산 맥주 페일 에일,5.1%,대한민국,오비맥주,오비맥주 주식회사
어반_래빗_바이젠,국산 맥주 바이젠,5.0%,대한민국,스퀴즈 브루어리,주식회사 스퀴즈브루어리
