제품명,스타일,도수,국가/지역,제조사,공급사
동해소주,일반 소주,18.0%,대한민국,설악프로방스 배꽃마을 농업회사법인,부국상사
명품_안동소주_참조은,일반 소주,16.9%,대한민국,농업회사법인 명품안동소주(주),부국상사
산들벗_17,일반 소주,17.0%,대한민국,농업회사법인 산들벗(주),부국상사
해방주,일반 소주,18.8%,대한민국,농업회사법인 (주)영덕주조,부국상사
황금_보리_소주_17,일반 소주,17.0%,대한민국,남한산성 소주,부국상사
대장부_21,"일반 소주 증류식",21.0%,대한민국,롯데칠성음료,롯데칠성음료 국내부문
화요_17,"일반 소주 증류식",17.0%,대한민국,화요,주식회사 화요
대장부,"일반 소주 증류식",25.0%,대한민국,롯데칠성음료,롯데칠성음료 국내부문
일품진로,"일반 소주 증류식",25.0%,대한민국,하이트진로(주),하이트진로 국산
화요_25,"일반 소주 증류식",25.0%,대한민국,화요,주식회사 화요
화요_25,"일반 소주 증류식",25.0%,대한민국,화요,주식회사 화요
화요_41,"일반 소주 증류식",41.0%,대한민국,화요,주식회사 화요
화요_53,"일반 소주 증류식",53.0%,대한민국,화요,주식회사 화요
화요_53,"일반 소주 증류식",53.0%,대한민국,화요,주식회사 화요
진로_1924_헤리티지,"일반 소주 증류식",30.0%,대한민국,하이트진로 국산,하이트진로 국산
화요_X.P,"일반 소주 증류식",41.0%,대한민국,화요,주식회사 화요
이제우린,일반 소주,16.5%,대한민국,맥키스컴퍼니,맥키스컴퍼니
처음처럼_새로,"일반 소주 희석식",16.0%,대한민국,롯데칠성음료,롯데칠성음료 국내부문
대장부_23,"일반 소주 증류식",23.0%,대한민국,롯데칠성음료,롯데칠성음료 국내부문
일품진로_18년,"일반 소주 증류식",31.0%,대한민국,하이트진로 국산,하이트진로 국산
일품진로_19년,"일반 소주 증류식",31.0%,대한민국,하이트진로 국산,하이트진로 국산
일품진로_20년,"일반 소주 증류식",31.0%,대한민국,하이트진로 국산,하이트진로 국산
일품진로1924,"일반 소주 증류식",25.0%,대한민국,하이트진로 국산,하이트진로 국산
처음처럼_순,"일반 소주 희석식",16.0%,대한민국,롯데칠성음료,롯데칠성음료 국내부문
처음처럼_FLEX,"일반 소주 희석식",16.7%,대한민국,롯데칠성음료,롯데칠성음료 국내부문
처음처럼,"일반 소주 희석식",16.5%,대한민국,롯데칠성음료,롯데칠성음료 국내부문
진로,"일반 소주 희석식",16.5%,대한민국,하이트진로,하이트진로 국산
참이슬_오리지널,"일반 소주 희석식",20.1%,대한민국,하이트진로,하이트진로 국산
참이슬_후레쉬,"일반 소주 희석식",16.5%,대한민국,하이트진로,하이트진로 국산
개빡치주,"일반 소주 증류식",40.0%,대한민국,농업회사법인 주식회사 술샘,농업회사법인 주식회사 술샘
빡치주,"일반 소주 증류식",25.0%,대한민국,농업회사법인 주식회사 술샘,농업회사법인 주식회사 술샘
대선,"일반 소주 희석식",16.5%,대한민국,대선주조(주),대선주조(주)
대선_다이아몬드,"일반 소주 희석식",16.9%,대한민국,대선주조(주),대선주조(주)
소주왕_금복주,"일반 소주 희석식",16.9%,대한민국,(주)금복주,(주)금복주
여수밤바다,"일반 소주 희석식",16.9%,대한민국,보해양조(주),보해양조(주)
참소주,"일반 소주 희석식",16.9%,대한민국,(주)금복주,(주)금복주
한라산_21,"일반 소주 희석식",21.0%,대한민국,(주)한라산,(주)한라산
한라산물_순한소주,"일반 소주 희석식",17.0%,대한민국,(주)한라산,(주)한라산
C1,"일반 소주 희석식",19.0%,대한민국,대선주조(주),대선주조(주)
잎새주,"일반 소주 희석식",17.3%,대한민국,보해양조(주),보해양조(주)
잎새주,"일반 소주 희석식",17.3%,대한민국,보해양조(주),보해양조(주)
좋은데이,"일반 소주 희석식",16.5%,대한민국,(주)무학,(주)무학
