술,용량,알코올,특징,제조사
참이슬 fresh,360 mL,16.50%,"대나무 숯으로 4번 걸러 더 깨끗한 목넘김과
이슬형태의 곡선 라벨로 더욱 트렌디해진 참이슬fresh 입니다.",하이트 진로
참이슬 오리지널,360 mL,20.10%,"대한민국 소주의 정통성을 지켜온 정통소주로서 대나무 숯으로 4번 걸러,
숙취 유발 물질을 깨끗하게 제거하고 레귤러 대비 높은 도수로, 깊고 진한 맛을
구현해 진짜 소주의 참맛을 아는 소비자들에게 꾸준히 사랑받는 제품입니다.",하이트 진로
진로,360 mL,16%,"진로만이 가지고 있는 No.1 헤리티지를 재해석하여
스카이 블루 색상의 병과 은색 트위스트 캡으로 복원한
소주의 원조 진로가 재탄생했습니다.

2023년 1월 새해을 맞아 제로슈거 및 알코올 도수 16도의
진로 오리지널 레시피를 완성하여 초깔끔하고
부드러운 목넘김을 한층 강화했습니다.",하이트 진로
진로 1924 헤리티지,375 mL,30%,"최고급 임금님표 이천쌀만을 100% 사용하였으며
정성껏 3번 증류하여 불순물과 잡미를 제거함으로써
증류식 소주 최고의 깊고 깔끔한 맛을 구현",하이트 진로
일품진로,375 mL,25%,"증류의 처음과 마지막에 나오는 원액은 과감히 버리고 향과 풍미가 뛰어난 중간 원액만을 사용하였으며 냉동여과공법으로 영하의 온도에서 잡미, 불순물을 제거하여 깔끔하고 부드러운 목넘김과 은은한 맛을 구연하였습니다.",하이트 진로
일품진로  OAK43,375 mL,43%,"일품진로의 깔끔한 맛과 12년 목통 숙성 원액의 깊고 부드러운 풍미와
향긋한 향을 완벽한 조합으로 블렌딩하여 스트레이트, 온더락, 하이볼 등
다양한 음용 방식에 따라 각각의 특별한 맛을 느끼실 수 있습니다.",하이트 진로
일품진로 23년 산,375 mL,31%,"좌상의 향과 풍미를 품을 수 있도록 참나무통에 담아
23년의 기다림과 정성으로 마침내 탄생한 대한민국 죄상급 프리미엄 소주",하이트 진로
진로25,360 mL,25%,"초정밀 여과처리로 깨끗한 맛!
90여년의 노하우로 블렌딩 한 정통 소주",하이트 진로
처음처럼 순,360 mL,16.00%,대관령 기슭 암반수로 만든 부드럽고 순한 소주,롯데주류
처음처럼,360 mL,16.50%,대관령 기슭 암반수로 만들어 목넘김이 부드러운 소주,롯데주류
처음처럼 진,360 mL,20%,대관령 기슭 암반수로 만든 부드럽고 진한 소주,롯데주류
새로,360 mL,16%,제로슈거로 산뜻하고 부드러운 소주,롯데주류
순하리 처음처럼 유자,360 mL,14%,,롯데주류
